"X" "Y" "red3_sm" "red3_sv" "red7var_sm" "red7var_sv" "green3_sm" "green3_sv" "green7var_sm" "green7var_sv" "blue3_sm" "blue3_sv" "blue7var_sm" "blue7var_sv" "area_sm" "area_sv" "perimeter_sm" "perimeter_sv" "orientation_sm" "orientation_sv" "red_sm" "red_sv" "blue_sm" "blue_sv" "green_sm" "green_sv" "variance_red_sm" "variance_red_sv" "variance_blue_sm" "variance_blue_sv" "variance_green_sm" "variance_green_sv" "intensity_sm" "intensity_sv" "red3_gm" "red3_gv" "red7var_gm" "red7var_gv" "green3_gm" "green3_gv" "green7var_gm" "green7var_gv" "blue3_gm" "blue3_gv" "blue7var_gm" "blue7var_gv" "area_gm" "area_gv" "perimeter_gm" "perimeter_gv" "orientation_gm" "orientation_gv" "red_gm" "red_gv" "blue_gm" "blue_gv" "green_gm" "green_gv" "variance_red_gm" "variance_red_gv" "variance_blue_gm" "variance_blue_gv" "variance_green_gm" "variance_green_gv" "intensity_gm" "intensity_gv" "red3_rm" "red7var_rm" "green3_rm" "green7var_rm" "blue3_rm" "blue7var_rm" "area_rm" "perimeter_rm" "orientation_rm" "red_rm" "blue_rm" "green_rm" "variance_red_rm" "variance_blue_rm" "variance_green_rm" "intensity_rm" "t" "nt" "sample"
"1" -1.74721697001339 -1.75761814864722 -2.72990615843861 22.0507783765851 0.52856476441864 2.39852610099387 1.45393922201198 8.80824686785586 2.11979003240318 0.766181710267812 -2.03294006939687 34.5910315828423 0.01366511541725 -0.117571530302473 -1.24698526837193 14.4339878605231 -1.24055302634635 15.3168296083925 -0.0129171907125928 0.115333270222861 0.622485122929999 35.6774341024135 0.408234404030203 38.1374904452348 1.8289409317796 26.2403839498491 0.868491675568613 44.3510706963193 0.348030013801929 42.6619430166964 0.658542693837205 13.6462308204949 -2.59203237412513 30.4249219409556 -0.89688263908416 1.62422637725122 -0.479576299618524 0.779347695601857 -0.491089956795674 -0.127377663600955 -0.535681740766296 4.69486567512352 -0.972517207687868 0.11938332237379 -0.51010394178323 5.00933916488938 -0.909557860043431 2.01867803566112 -1.03838286230454 -0.86530712464525 -1.36128402314005 3.87324468281188 -0.791033668890099 2.57128660398438 -0.463042185620052 3.90402221574755 -0.471810677818226 4.78251827128119 -0.831452198831102 -1.06783064124832 0.603219935361693 11.4577081870162 -0.321912095403107 0.0532577362078949 -0.142394072604354 8.9636748756003 -3.09355262815771 0.296678624143552 2.98853865010116 1.53548622567045 -2.54389633008873 0.80164634614726 0.221087695713623 -0.124448209033448 1.71185129934178 0.0869403071229676 -0.242654071134269 0.83117693816245 -0.413338598723841 -0.23294742946085 0.937674734403514 -1.53589664569095 0 2 "sample_D"
"5" -1.60794028954102 -1.75761814864722 -2.51445066686337 6.67374203507011 0.580600343059836 0.224122788488317 1.80712841047745 1.95768729652336 2.01260137942565 -0.0161191493735795 -2.07386417280236 8.89953386198862 0.196235109993973 -0.0924285064924266 -1.2187934879378 2.41002097280686 -1.08619186524514 3.21757985854164 0.694947690936512 1.84404374163188 0.548662756619051 9.2147990053549 0.263108669362031 9.30090417394285 1.83390766059027 9.20290266594024 0.684481191855215 10.0093324252779 0.301712488863092 10.5119143868999 1.04973454999237 4.82059237810653 -2.56702835425868 9.56934234675122 -1.1274336038885 1.51832956656687 -0.449196908675792 1.50407624924167 -0.669379291482636 -0.0384916930745799 -0.610147234772775 2.20813744694771 -0.723368438055118 -0.33709888652752 -0.469185322551191 4.7203253143345 -0.80931321802209 2.78411686129373 -0.959594303193486 -0.79585514820029 -1.44453276364727 2.38352022386288 -0.550632863566157 2.47870118999178 -0.240835285463322 3.62360248000123 -0.426778377688724 5.23182544588534 -1.03998054136274 -0.144696753443887 0.707542134475772 9.0408825109886 -0.253116116359141 -0.350818858683515 0.24327073031353 8.18797292040339 -1.00018878450296 1.74243026332319 1.20058141324622 2.51722380024349 -0.573561396569635 1.66887983051739 0.764890016731004 1.67080962900348 1.66946938776765 -1.05133147533704 -1.14559024200128 -0.593098153410013 0.730453570548218 -0.567208311602149 -0.114220282561648 -1.53589664569095 0 2 "sample_D"
"6" -1.57312111942292 -1.75761814864722 -2.47860799032303 5.17561248110871 0.58333743825476 0.0609201303173446 1.87320648823163 1.34377584698511 1.9725238867547 -0.0687096874959338 -2.09156992904801 6.49986573718152 0.237899689605981 -0.0917317741696104 -1.23589481627789 1.46520281485336 -1.07124652016596 2.1744115026068 0.822751802754471 2.70866819160692 0.507929580436183 6.77665754564434 0.222251334662299 6.73238229099044 1.82172903812865 7.43503482843065 0.632695633543566 7.0266167305444 0.283939399594244 7.5960659311444 1.13158182677562 3.98964696919172 -2.57896895372058 7.50613869317803 -1.13493059808879 1.56654011123203 -0.437377911518169 1.71183851792446 -0.719264395379757 -0.167077631532538 -0.611650292520497 1.61108463562591 -0.644483223564456 -0.47485370392516 -0.457260261094021 4.54707834412964 -0.786236682187333 2.84846644829777 -0.946579430567548 -0.775399933674078 -1.46722699839235 1.9779632826902 -0.473965887363019 2.31994248012478 -0.180692107710677 3.46769000153409 -0.394440766058499 5.3345189106931 -0.994623136374651 0.237983515927381 0.728193207598328 8.26955851485609 -0.232045035621284 -0.438425539787302 0.353143924487975 7.68916481248471 -2.64492783729761 -0.845608079216765 2.45696667217015 1.10650363856899 -2.86333688604951 -0.782170608461746 -0.572143964580304 -0.748378878155215 1.76260924230742 2.00779113090413 1.8742389646694 2.85852222424445 1.1406430416048 1.49180016688038 2.16560015812223 -1.21147625329873 0 5 "sample_D"
"7" -1.53830194930483 -1.75761814864722 -2.45016596015442 4.1902347167205 0.582913062307858 -0.0334415326891532 1.93108371323739 0.96168632767667 1.92734338437247 -0.0976685839690737 -2.11273061823056 4.91318685042653 0.27772838826395 -0.0933618639929168 -1.25735088665763 0.907352525822771 -1.06151315619933 1.53373231516508 0.924922380573854 3.44807619493404 0.462491221593302 5.20502138136391 0.181908824256541 5.08130650685807 1.80582831764933 6.23674624386961 0.581619748040061 5.1052226546533 0.265177758223675 5.68227790991206 1.20722840951839 3.45985824125576 -2.59491987916475 6.13270258060329 -1.12093052194668 1.34387766835976 -0.423571452654722 1.91507628430356 -0.770537201651512 -0.356301734973369 -0.613778819897045 1.0826450113787 -0.564301131550308 -0.62710866017023 -0.444690768516474 4.31579197592743 -0.76592932283584 2.82050576336778 -0.938346145086115 -0.742315043807456 -1.48794765905311 1.58936889857111 -0.39616592538728 2.07532903354544 -0.119295057835094 3.27592996193035 -0.358706960392914 5.40194347869373 -0.948013094419173 0.617273021942816 0.746663100637754 7.44336229209966 -0.209813638640747 -0.519522740769198 0.46822542233454 7.01945516438819 -1.69611280199812 -1.49256381307216 0.586855482428773 -0.0275267767811845 -1.27642078452501 -1.17934025338226 -1.07314301726555 -1.21642572011228 0.16224563403653 1.92319950759496 1.76907731592798 2.67834999659771 1.11979366880689 1.33624857347953 1.77554853191683 -0.887055860906515 0 6 "sample_D"
"8" -1.50348277918673 -1.75761814864722 -2.42962556071902 3.57960605177241 0.579659985297138 -0.0849480382872295 1.98118755912276 0.742401558569875 1.87710790005417 -0.112619377961342 -2.13785203685821 3.89538855859289 0.315149360037263 -0.0968653569232966 -1.27975276616382 0.601580432551493 -1.05418658304066 1.17045414584396 0.998482966873685 4.00331930138274 0.414966699865204 4.24787826081429 0.143519301740143 4.06819122750508 1.78722193265171 5.46722060862165 0.533099628390609 3.90569890084386 0.246462985467083 4.46300521935542 1.27658511175698 3.15700998528897 -2.61354279969815 5.26673617479328 -1.08236106886102 1.43751845245772 -0.407793880896885 2.10152142114034 -0.829043711932369 -0.582817193807704 -0.628013451788124 0.638662574581959 -0.483293647346599 -0.785094843978049 -0.431526918909733 4.02169616095011 -0.745524293918427 2.68534872550395 -0.935119018213495 -0.69044704557521 -1.49030943767577 1.22964863879569 -0.317896678829667 1.74104413372825 -0.0569440705160483 3.05046589606607 -0.325940428817596 5.4052599744229 -0.896430475246927 0.964561279174833 0.762964975725713 6.5757516051873 -0.185561204717703 -0.589416906793729 0.588413296098011 6.17941082112446 -1.65038325983065 -0.749887903969015 1.08501677823476 0.751585824439911 -1.70952560049892 -0.6885527884678 0.332248286556784 -0.0642967760416518 -1.3842338918207 1.34195475702049 1.12248302017057 1.80411765795201 0.81753272881444 0.756277266076854 1.08788238239901 -1.04926605710262 0 5 "sample_D"
"9" -1.46866360906864 -1.75761814864722 -2.41770041138225 3.24232492356113 0.573797995060459 -0.111079850176203 2.02395632546421 0.637774101182577 1.82184158208622 -0.119808702619861 -2.16755918211997 3.27115198037696 0.349339629351979 -0.10164989655138 -1.29940960722883 0.458660798461722 -1.0462048402945 0.999296017074748 1.04069329825352 4.35429817920103 0.368158147537808 3.72653808908223 0.108610739474616 3.49771025122124 1.76699135336782 5.01999006743561 0.489091153129817 3.1924116090316 0.228954076709777 3.7209884876125 1.3394708661832 3.02708033307361 -2.63373031825968 4.77406465559087 -1.04591767725384 0.650307945133459 -0.390142909977587 2.25819574676644 -0.888917069851451 -0.806084084061315 -0.636369944511254 0.283936120954167 -0.402153013147938 -0.930688741733341 -0.417806672328806 3.67051530396022 -0.711997058695193 2.44083789414493 -0.936136847631136 -0.614649961104936 -1.48684902421614 0.824599309088707 -0.239794462300046 1.32749626711188 0.00600524050419774 2.79662072864553 -0.290641671659839 5.31550270617108 -0.834907163600667 1.26961844123847 0.788972500446134 5.68755677034877 -0.153760196560158 -0.639697907212484 0.708911668919899 5.19971851654462 -0.977332302508617 0.404222633157091 1.23461360526087 1.25148497816631 -1.02702416916383 0.0736384135457474 0.172687069404156 -0.00147770028461294 -1.44267180399327 1.40197689382095 1.23456762373197 1.99814152593797 0.9273744242008 0.956412780030297 1.44290565292984 -0.724845664710407 0 8 "sample_D"
"10" -1.43384443895054 -1.75761814864722 -2.41525262781664 3.10530842203046 0.56543765760706 -0.122458664393584 2.05982249916171 0.61656120083821 1.76157077207379 -0.12289205846743 -2.20253831468499 2.91816409327961 0.379282568661889 -0.107095126673493 -1.31251339267083 0.426232707987722 -1.03439632738764 0.967382144449256 1.04924261981158 4.5102048256809 0.324929935286917 3.51966422636594 0.0787291986322573 3.23850316417512 1.74623436935372 4.8153932706833 0.451565425036248 2.80764649909297 0.2138726469434 3.30730418310625 1.39564485235854 3.03028282094269 -2.65460774127763 4.55773953275419 -0.981447743341367 0.337707471447067 -0.370776981587387 2.37361153291807 -0.940833651310665 -0.974875535360429 -0.64180960863731 0.0127358179547826 -0.316315142674953 -1.03688651878851 -0.403541404245515 3.28212007682183 -0.679053416429568 2.10143917956219 -0.918572687511831 -0.512087565658998 -1.47908459138483 0.399097298541529 -0.16247336206626 0.861137467141767 0.0691163297973443 2.52316789375203 -0.248600769666176 5.11237885923532 -0.757908562223098 1.50755433489101 0.821278527518052 4.80679528989996 -0.120363182892973 -0.658443789042084 0.817744926179314 4.14498894096172 -2.06407742010866 1.28305797492145 2.1680550846415 1.97830399892085 -1.93071299976133 1.11529418867115 1.44303731722671 1.19910861234533 -2.36504574650501 -0.590877481883966 -0.905769705239913 -0.150416930153873 -0.34713321599135 -0.654392369286189 0.334268374541397 -1.21147625329873 0 4 "sample_D"
"11" -1.39902526883245 -1.75761814864722 -2.42319819136544 3.11486631583197 0.554597505208791 -0.124883784914153 2.08919941713082 0.658985312266081 1.69636145803662 -0.123762540478839 -2.24345685849718 2.75162483066038 0.40384882453506 -0.112648450481535 -1.3153405185888 0.477488317110754 -1.01565841064376 1.04424075855587 1.0224619691466 4.49990354792043 0.288064400830214 3.54551120767909 0.0553498445394805 3.20295949468225 1.72600735465274 4.79258078980474 0.422393408127276 2.64782481309083 0.202425021405772 3.12085439350205 1.44484591464812 3.13565915703016 -2.67551016777563 4.54666755358496 -0.894998839158782 0.325091547896248 -0.349894442757221 2.43991387310538 -0.985331490920217 -1.0433908920887 -0.64790296106837 -0.188873559527098 -0.247422995767035 -1.07081180469913 -0.388709622961415 2.89059624304139 -0.646885100650948 1.69838166057601 -0.899930843424231 -0.383545279326505 -1.48193659569344 0.0884230094199307 -0.0865251510482745 0.382846955739603 0.131860226570467 2.24172833335901 -0.199420140031154 4.79208979825414 -0.660522116998861 1.60917156417471 0.853408395185465 3.96634296836544 -0.100135636850239 -0.631278448471367 0.92661703084381 3.10986877073777 -0.906367124884533 1.05472602640065 1.34123573875359 1.76481428279372 -1.03636546625912 0.74138077313768 -0.422287261748262 -0.114029596524937 -0.281787640256063 0.81710693788498 0.620887269235682 1.26840539517518 1.02784595749441 0.817021602999524 1.25476099692802 -0.238215076122081 0 10 "sample_D"
"14" -1.29456775847817 -1.75761814864722 -2.51650484494841 3.62909766010455 0.506834323800083 -0.102446234525704 2.14215357702596 1.03766503823801 1.47349173401165 -0.119759722572745 -2.40593837678693 2.83181060375821 0.434593749027938 -0.126542746807469 -1.2312479946187 1.02057859236258 -0.892287836231648 1.754304742176 0.727668454040648 3.87778396040792 0.238757426518603 4.47570451630797 0.0356417359739471 3.87599951912201 1.67707133463785 5.35177514681524 0.399354191128463 2.9075058257492 0.199690247692878 3.29795552880635 1.54860664994491 3.80902728366679 -2.73354896523032 5.23025806354346 -0.658137680954493 1.10559565901462 -0.280221622572973 2.3394899862648 -1.133438914657 -0.756095497700049 -0.662734173627712 -0.558708494446599 -0.0894562259047645 -0.446334461169622 -0.353167955641193 2.14398627159606 -0.629386905734745 0.569233086104169 -0.835436635624553 0.0908701491787671 -1.57831233971965 0.0575316523402291 0.093967977766591 -0.619631022710568 0.328905058809802 1.47304380070507 -0.0484604398658401 3.38202308828342 -0.317314764199887 0.898519353797273 0.881370545459258 1.99629339999855 -0.0460149426523001 -0.136858684522362 1.24345865521314 1.23098072882609 -5.57318227498986 -1.65163493395993 5.33911318898559 1.72091260655197 -5.77602862298952 -0.556959333228336 -1.02565435785072 -1.27992463248822 -2.18312967356394 2.07820952548959 2.1300709882397 2.39529034451586 2.00102076026797 2.00111669778243 1.55417600106188 -1.69810684188706 0 1 "sample_D"
"15" -1.25974858836007 -1.75761814864722 -2.57120799425311 3.85230921983887 0.486010782152645 -0.0899456745776693 2.14929478769313 1.20579803216724 1.39200172902265 -0.117251241393544 -2.4728907314711 2.92440508069177 0.428143219329015 -0.129849808097917 -1.16603723750075 1.2926014027643 -0.823680582049354 2.09020397334369 0.563250402887201 3.60303482509769 0.247638544910223 4.91322322369784 0.0477161808852836 4.20698651504614 1.66637403760952 5.61518681979203 0.415452971402571 3.09830113000833 0.2110461404869 3.45225785646913 1.56843892130172 4.07323647440253 -2.74958022151369 5.55412727323201 -0.56452482097741 1.53692186862715 -0.25517442430689 2.22353759406376 -1.15116381318839 -0.621249260221278 -0.659355677597319 -0.653816572372835 -0.0178204554178365 0.0372866199553172 -0.365372332531862 2.15759995880792 -0.637769842047454 0.364468532364274 -0.803777360239949 0.245701085541295 -1.5884200903946 0.307863903724101 0.173792870155511 -0.670383174248019 0.37481527313307 1.26924424229441 0.00461668906743002 2.91032473351146 -0.267268234337005 0.678640087252749 0.862164882264956 1.58348235020994 -0.0266545069351409 0.189020930976145 1.3475454386047 1.28927057410762 -1.67620545979465 0.852227655874446 1.99092476609715 1.70954524286655 -1.64203048372285 0.722052530687635 1.28643653657079 1.06195268877822 -0.118231330051636 0.249702618113894 0.0483167033708581 0.68047735452484 -0.108650723673066 -0.0731171174507978 0.584632175573143 -0.724845664710407 0 7 "sample_D"
